รายการ,ยอดที่วางแผน,ยอดจริง,หมายเหตุ
รายรับหลังหัก,,,
บิลจำเป็น,,,
รายจ่ายประจำวัน,,,
หนี้ที่ถึงกำหนด,,,
กันไว้จ่ายค่าใช้จ่ายไม่ประจำ,,,
เป้าหมายเงินออม,,,
เหลือที่ยังไม่ได้จัดสรร (คำนวณเอง),,,
